chr	start	end	strand	symbol	id
1	148650345	148651134	-	Gm18505	ENSMUSG00000101735
10	28065666	28066190	-	Gm18507	ENSMUSG00000112432
10	28988799	28990440	-	Gm18508	ENSMUSG00000110846
10	123890803	123891898	-	Gm18510	ENSMUSG00000112603
10	52189248	52189807	+	Gm18513	ENSMUSG00000093427
10	62669803	62670238	+	Gm18514	ENSMUSG00000112901
10	97241912	97243208	+	Gm18515	ENSMUSG00000111981
13	81085391	81087564	-	Gm18517	ENSMUSG00000114836
13	90867606	90868605	+	Gm18518	ENSMUSG00000114589
17	21394078	21395117	-	Gm18519	ENSMUSG00000116633
17	37885374	37886031	-	Gm18520	ENSMUSG00000092468
17	37974644	37975293	+	Gm18522	ENSMUSG00000092213
14	38074111	38074901	+	Gm18523	ENSMUSG00000114450
14	44905748	44906516	+	Gm18524	ENSMUSG00000115268
14	81839170	81840379	+	Gm18525	ENSMUSG00000115175
18	37305535	37306791	+	Gm18529	ENSMUSG00000104264
15	42256063	42256780	-	Gm18531	ENSMUSG00000115985
15	18007430	18007845	+	Gm18532	ENSMUSG00000115192
15	19204246	19205844	+	Gm18533	ENSMUSG00000115588
6	83548859	83550381	-	Gm18537	ENSMUSG00000108484
6	48956358	48956841	+	Gm18538	ENSMUSG00000107943
6	48981120	48982209	+	Gm18539	ENSMUSG00000108017
6	62820108	62820633	+	Gm18540	ENSMUSG00000108007
9	63898265	63898802	+	Gm18541	ENSMUSG00000110768
3	135170629	135171304	+	Gm18546	ENSMUSG00000105266
2	10893709	10894519	+	Gm18547	ENSMUSG00000103237
16	71854938	71855787	-	Gm18549	ENSMUSG00000116664
16	71857257	71858238	+	Gm18550	ENSMUSG00000116966
12	114265607	114266248	-	Gm18551	ENSMUSG00000102479
1	110410743	110411280	-	Gm18552	ENSMUSG00000100290
1	138983864	138984497	-	Gm18553	ENSMUSG00000102626
5	109473396	109473979	+	Gm18555	ENSMUSG00000105303
10	82056108	82057239	-	Gm18556	ENSMUSG00000112373
10	16364798	16366574	+	Gm18557	ENSMUSG00000112602
7	35497455	35499717	-	Gm18558	ENSMUSG00000100068
7	48939515	48940118	-	Gm18559	ENSMUSG00000109507
7	84919379	84920501	-	Gm18560	ENSMUSG00000092214
7	127155069	127156006	+	Gm18561	ENSMUSG00000108362
13	13323364	13350427	+	Gm18562	ENSMUSG00000110123
17	15547816	15550462	+	Gm18564	ENSMUSG00000116950
14	19529679	19531632	+	Gm18577	ENSMUSG00000114947
14	26302705	26304913	+	Gm18578	ENSMUSG00000114921
14	111544201	111545092	+	Gm18580	ENSMUSG00000115818
15	23851740	23853910	-	Gm18582	ENSMUSG00000115365
6	47432126	47433089	-	Gm18584	ENSMUSG00000107853
9	27582837	27583392	-	Gm18585	ENSMUSG00000110892
9	40929909	40930426	-	Gm18586	ENSMUSG00000111346
9	69444963	69445803	+	Gm18587	ENSMUSG00000111484
3	68902267	68902758	-	Gm18588	ENSMUSG00000093402
12	39208892	39209654	+	Gm18591	ENSMUSG00000113896
12	83742762	83743037	+	Gm18592	ENSMUSG00000113881
5	75048479	75050036	+	Gm18593	ENSMUSG00000107162
5	108821721	108823123	+	Gm18594	ENSMUSG00000093756
5	108972797	108975895	+	Gm18595	ENSMUSG00000093725
10	77741796	77742638	-	Gm18596	ENSMUSG00000112864
7	11996063	11996756	-	Gm18597	ENSMUSG00000109752
7	23446299	23446895	+	Gm18598	ENSMUSG00000108946
7	114698520	114699644	-	Gm18599	ENSMUSG00000108349
7	131457012	131457516	+	Gm18600	ENSMUSG00000108964
13	100392732	100394499	+	Gm18601	ENSMUSG00000112978
8	87051397	87052247	-	Gm18602	ENSMUSG00000110349
17	36229469	36230026	+	Gm18604	ENSMUSG00000092612
14	79947657	79948279	+	Gm18605	ENSMUSG00000115291
6	128185277	128188877	+	Gm18609	ENSMUSG00000107810
3	33730600	33733534	+	Gm18611	ENSMUSG00000106231
12	87541202	87543251	-	Gm18615	ENSMUSG00000113803
12	87910965	87913545	-	Gm18616	ENSMUSG00000113452
12	88072937	88073195	-	Gm18617	ENSMUSG00000113783
12	88258913	88259385	-	Gm18618	ENSMUSG00000113801
12	88317528	88318674	-	Gm18619	ENSMUSG00000113829
12	88339911	88340774	-	Gm18620	ENSMUSG00000113490
12	91872965	91873643	-	Gm18621	ENSMUSG00000113676
12	32930124	32930718	+	Gm18622	ENSMUSG00000112916
12	49323943	49325617	+	Gm18623	ENSMUSG00000112651
12	87485143	87485800	+	Gm18624	ENSMUSG00000113372
12	87496093	87496363	+	Gm18625	ENSMUSG00000113323
12	87518272	87520870	+	Gm18626	ENSMUSG00000114187
12	87865785	87868203	+	Gm18627	ENSMUSG00000113286
12	87927534	87928008	+	Gm18628	ENSMUSG00000113748
12	88028811	88029757	+	Gm18629	ENSMUSG00000114109
12	88153674	88156251	+	Gm18630	ENSMUSG00000114060
12	88220556	88222617	+	Gm18631	ENSMUSG00000114191
12	88331039	88333125	+	Gm18632	ENSMUSG00000113942
5	87014160	87015219	+	Gm18635	ENSMUSG00000105315
10	69422683	69423748	-	Gm18636	ENSMUSG00000111899
10	22052251	22054150	+	Gm18637	ENSMUSG00000111953
7	10881186	10885254	-	Gm18638	ENSMUSG00000109900
7	11412534	11416608	+	Gm18639	ENSMUSG00000109720
7	11528853	11533146	+	Gm18640	ENSMUSG00000109985
7	11625042	11626287	+	Gm18641	ENSMUSG00000109626
7	57026081	57027480	+	Gm18642	ENSMUSG00000108377
13	37092547	37095675	-	Gm18643	ENSMUSG00000114336
8	39310452	39311694	-	Gm18644	ENSMUSG00000109955
8	63522920	63525878	+	Gm18645	ENSMUSG00000110300
8	63522922	63525881	+	Gm18645	ENSMUSG00000110678
8	72515358	72516420	+	Gm18646	ENSMUSG00000110446
9	102819861	102820950	-	Gm18655	ENSMUSG00000111395
3	6378332	6378601	-	Gm18658	ENSMUSG00000103852
3	57271741	57272369	-	Gm18660	ENSMUSG00000104534
Y	1277313	1277582	-	Gm18665	ENSMUSG00000099809
1	93906244	93916768	+	Gm18666	ENSMUSG00000101660
1	138184101	138184584	+	Gm18667	ENSMUSG00000099656
10	44169577	44170354	-	Gm18669	ENSMUSG00000111224
X	114592048	114592524	-	Gm1866	ENSMUSG00000082070
10	90749992	90750687	-	Gm18670	ENSMUSG00000111909
10	40548892	40549574	+	Gm18671	ENSMUSG00000111251
7	28235651	28235920	-	Gm18672	ENSMUSG00000109502
14	30423270	30423883	+	Gm18681	ENSMUSG00000114966
14	73933027	73933609	+	Gm18683	ENSMUSG00000115470
15	93089230	93089922	+	Gm18685	ENSMUSG00000115921
6	131432053	131433911	-	Gm18688	ENSMUSG00000107832
6	133001748	133002649	-	Gm18689	ENSMUSG00000107808
6	133017394	133018378	-	Gm18690	ENSMUSG00000107746
6	133086487	133087888	-	Gm18691	ENSMUSG00000107602
3	10753918	10754428	-	Gm18692	ENSMUSG00000104185
16	49369052	49370277	+	Gm18694	ENSMUSG00000116700
12	9473101	9473374	-	Gm18696	ENSMUSG00000111989
1	92999396	93002771	-	Gm18697	ENSMUSG00000100021
1	189078159	189079704	-	Gm18698	ENSMUSG00000104464
1	89048974	89049216	+	Gm18699	ENSMUSG00000099544
1	100597075	100597627	+	Gm18700	ENSMUSG00000099427
1	149173060	149174595	+	Gm18701	ENSMUSG00000101457
5	103273909	103274496	+	Gm18702	ENSMUSG00000104688
10	3303049	3303381	+	Gm18703	ENSMUSG00000111114
10	32369555	32370292	-	Gm18704	ENSMUSG00000112511
10	91252145	91259344	-	Gm18705	ENSMUSG00000110847
7	46091896	46092961	-	Gm18706	ENSMUSG00000109882
8	120727263	120727943	+	Gm18709	ENSMUSG00000097895
14	53466079	53466828	+	Gm18711	ENSMUSG00000105666
15	13713972	13714241	-	Gm18714	ENSMUSG00000115081
15	5714034	5714303	+	Gm18715	ENSMUSG00000115185
6	65416020	65417622	+	Gm18716	ENSMUSG00000107584
3	67741968	67743297	-	Gm18717	ENSMUSG00000104477
3	77961384	77962796	+	Gm18719	ENSMUSG00000105026
16	9104803	9107770	-	Gm18722	ENSMUSG00000116348
16	56095714	56096839	-	Gm18723	ENSMUSG00000116999
16	11046904	11048290	+	Gm18724	ENSMUSG00000116274
12	32710161	32712532	+	Gm18726	ENSMUSG00000112218
1	154323056	154323608	-	Gm18727	ENSMUSG00000100031
1	103171926	103268593	+	Gm18728	ENSMUSG00000100955
10	35242123	35242743	-	Gm18729	ENSMUSG00000110837
10	121400713	121401291	+	Gm18730	ENSMUSG00000112209
17	35278176	35279414	-	Gm18733	ENSMUSG00000092444
17	35304206	35306317	-	Gm18734	ENSMUSG00000092438
17	37860807	37861743	+	Gm18737	ENSMUSG00000092458
15	19749723	19750440	+	Gm18741	ENSMUSG00000115298
9	69792604	69793151	-	Gm18745	ENSMUSG00000111286
16	19018055	19018702	-	Gm18747	ENSMUSG00000105028
16	19161427	19168046	-	Gm18748	ENSMUSG00000106444
12	94059010	94059701	-	Gm18749	ENSMUSG00000113215
1	149037584	149039596	+	Gm18751	ENSMUSG00000100917
1	173701385	173706407	+	Gm18752	ENSMUSG00000103105
5	150446782	150447347	+	Gm18753	ENSMUSG00000107262
10	130469511	130470609	-	Gm18755	ENSMUSG00000112712
7	5304878	5308018	+	Gm18757	ENSMUSG00000109155
13	115163608	115164820	-	Gm18759	ENSMUSG00000114872
14	30027687	30028351	-	Gm18760	ENSMUSG00000114705
14	46607552	46608952	+	Gm18761	ENSMUSG00000115828
14	50670388	50672234	+	Gm18762	ENSMUSG00000115323
6	50627680	50628339	-	Gm18765	ENSMUSG00000107740
9	85789764	85790571	-	Gm18766	ENSMUSG00000100019
16	20960627	20961142	-	Gm18769	ENSMUSG00000116732
16	21021328	21021842	+	Gm18770	ENSMUSG00000116592
16	21121830	21122523	+	Gm18771	ENSMUSG00000116731
12	3216912	3228147	+	Gm18774	ENSMUSG00000112279
1	17993010	17999622	-	Gm18775	ENSMUSG00000099473
1	27900419	27901072	-	Gm18776	ENSMUSG00000101033
10	66740286	66741159	-	Gm18777	ENSMUSG00000112159
7	85785019	85785595	-	Gm18779	ENSMUSG00000092426
7	113448346	113448919	-	Gm18780	ENSMUSG00000109779
7	10805245	10806168	+	Gm18781	ENSMUSG00000109924
7	80979893	80981291	+	Gm18782	ENSMUSG00000109367
13	3124309	3125459	-	Gm18783	ENSMUSG00000113920
15	55474780	55475563	-	Gm18787	ENSMUSG00000115759
9	14915472	14916021	-	Gm18789	ENSMUSG00000110995
2	39153964	39154689	+	Gm18791	ENSMUSG00000107833
12	101216840	101373116	+	Gm18795	ENSMUSG00000113134
Y	2298529	2314624	-	Gm18796	ENSMUSG00000099973
Y	2078596	2085281	+	Gm18797	ENSMUSG00000100356
Y	2678944	2689032	+	Gm18798	ENSMUSG00000101064
1	33315670	33316582	-	Gm18799	ENSMUSG00000100318
1	53326206	53342186	-	Gm18800	ENSMUSG00000101838
1	105955775	105956310	-	Gm18801	ENSMUSG00000099448
1	58630375	58637344	+	Gm18802	ENSMUSG00000099490
7	73688235	73689167	-	Gm18805	ENSMUSG00000108485
7	81742345	81744316	+	Gm18806	ENSMUSG00000109519
13	47024346	47024986	+	Gm18807	ENSMUSG00000114376
17	37413142	37415123	-	Gm18808	ENSMUSG00000092477
14	47177883	47178546	-	Gm18811	ENSMUSG00000115764
14	87990229	87991072	-	Gm18812	ENSMUSG00000115452
14	34260332	34261683	+	Gm18813	ENSMUSG00000115649
15	91074162	91075149	+	Gm18814	ENSMUSG00000115952
15	92968815	92970297	+	Gm18815	ENSMUSG00000116242
9	31643770	31644685	+	Gm18820	ENSMUSG00000111153
9	71908843	71909551	+	Gm18821	ENSMUSG00000098761
3	8615275	8616504	-	Gm18822	ENSMUSG00000098047
16	73463807	73464823	-	Gm18825	ENSMUSG00000116746
12	91482053	91482842	+	Gm18827	ENSMUSG00000099750
1	36764863	36765874	-	Gm18828	ENSMUSG00000097291
1	59950403	59952464	-	Gm18829	ENSMUSG00000100901
5	21124017	21125412	+	Gm18830	ENSMUSG00000106116
17	38079620	38080481	+	Gm18833	ENSMUSG00000092461
14	37182204	37183065	-	Gm18834	ENSMUSG00000114675
6	61016851	61017736	-	Gm18838	ENSMUSG00000108098
6	64878459	64879128	-	Gm18839	ENSMUSG00000107424
6	124561215	124563785	+	Gm18840	ENSMUSG00000107568
3	46413402	46414120	+	Gm18843	ENSMUSG00000104511
12	101205723	101206514	+	Gm18848	ENSMUSG00000098167
1	46056310	46058986	+	Gm18849	ENSMUSG00000099432
7	11687829	11688216	-	Gm18850	ENSMUSG00000109883
7	11890770	11900556	-	Gm18851	ENSMUSG00000110054
7	105925000	105928592	-	Gm18852	ENSMUSG00000099241
7	106186404	106189999	-	Gm18853	ENSMUSG00000098934
7	12025451	12030404	+	Gm18854	ENSMUSG00000109758
7	18831775	18832344	+	Gm18855	ENSMUSG00000108471
13	13964487	13971337	-	Gm18856	ENSMUSG00000096192
13	4035245	4054757	+	Gm18857	ENSMUSG00000110055
13	17820946	17821770	+	Gm18859	ENSMUSG00000081285
8	71704205	71704968	-	Gm18860	ENSMUSG00000110569
6	22759399	22760584	+	Gm18861	ENSMUSG00000107303
6	86351851	86352984	+	Gm18862	ENSMUSG00000107819
9	78942338	78943636	-	Gm18863	ENSMUSG00000111309
3	19708270	19709320	-	Gm18864	ENSMUSG00000102261
3	43390767	43391937	-	Gm18865	ENSMUSG00000102334
3	57962194	57963372	+	Gm18867	ENSMUSG00000106246
16	16379212	16380208	+	Gm18869	ENSMUSG00000116192
16	63003438	63108522	+	Gm18870	ENSMUSG00000116574
12	60324176	60324920	-	Gm18871	ENSMUSG00000112687
12	58763906	58764950	+	Gm18873	ENSMUSG00000112487
1	123804540	123805421	-	Gm18875	ENSMUSG00000101994
10	86640683	86642531	+	Gm18876	ENSMUSG00000112098
7	20072777	20073315	+	Gm18877	ENSMUSG00000109103
13	12879755	12881197	-	Gm18878	ENSMUSG00000113353
13	13103874	13105410	+	Gm18879	ENSMUSG00000113624
13	13197379	13198919	+	Gm18880	ENSMUSG00000113221
13	28006512	28008056	+	Gm18881	ENSMUSG00000113916
13	112699679	112700036	+	Gm18883	ENSMUSG00000114418
14	34175731	34176309	-	Gm18884	ENSMUSG00000115673
14	95932960	95934595	+	Gm18885	ENSMUSG00000115029
15	6329240	6329876	-	Gm18888	ENSMUSG00000115132
15	36119998	36120926	-	Gm18889	ENSMUSG00000092230
15	99883640	99884444	+	Gm18890	ENSMUSG00000116478
9	25349498	25351664	+	Gm18891	ENSMUSG00000111558
9	40039891	40040771	+	Gm18892	ENSMUSG00000111553
3	36213814	36214756	-	Gm18893	ENSMUSG00000106180
3	102074453	102075146	+	Gm18894	ENSMUSG00000105346
16	25441853	25443273	-	Gm18896	ENSMUSG00000116828
12	78255890	78256435	-	Gm18899	ENSMUSG00000111932
1	169591549	169592132	-	Gm18900	ENSMUSG00000103526
5	57355835	57357278	+	Gm18901	ENSMUSG00000105291
10	29425706	29426573	+	Gm18903	ENSMUSG00000111741
10	119090342	119090848	+	Gm18904	ENSMUSG00000112683
7	44267789	44268716	-	Gm18905	ENSMUSG00000108705
7	110712041	110713397	-	Gm18907	ENSMUSG00000109749
7	60132202	60133684	+	Gm18908	ENSMUSG00000108937
14	32154748	32156071	-	Gm18909	ENSMUSG00000115760
15	77701997	77703044	+	Gm18911	ENSMUSG00000116438
6	65432160	65433948	+	Gm18913	ENSMUSG00000107596
9	99260945	99261560	-	Gm18914	ENSMUSG00000111383
3	126278030	126279275	+	Gm18916	ENSMUSG00000106094
16	71210854	71211801	+	Gm18918	ENSMUSG00000116791
12	119067065	119067430	-	Gm18921	ENSMUSG00000114030
8	72036069	72036588	-	Gm18924	ENSMUSG00000110643
14	96890698	96891511	-	Gm18926	ENSMUSG00000115714
14	17105561	17105876	+	Gm18927	ENSMUSG00000114296
15	68762491	68764253	+	Gm18930	ENSMUSG00000115928
9	11277000	11278043	-	Gm18934	ENSMUSG00000110734
9	118571608	118572271	-	Gm18935	ENSMUSG00000110627
12	66845590	66846460	+	Gm18940	ENSMUSG00000113501
10	18336121	18337241	-	Gm18942	ENSMUSG00000111313
7	99247605	99248820	-	Gm18943	ENSMUSG00000109472
7	108203145	108203787	+	Gm18944	ENSMUSG00000108916
13	117143106	117144195	+	Gm18945	ENSMUSG00000114964
15	34268527	34269829	-	Gm18949	ENSMUSG00000115808
3	78758619	78759464	+	Gm18952	ENSMUSG00000102341
2	90239483	90241423	+	Gm18953	ENSMUSG00000093625
12	41016855	41020252	-	Gm18954	ENSMUSG00000114130
12	117723972	117724620	+	Gm18955	ENSMUSG00000113840
1	3252757	3253236	+	Gm18956	ENSMUSG00000102851
5	26355418	26357230	+	Gm18957	ENSMUSG00000105786
7	84801034	84803163	+	Gm18958	ENSMUSG00000092429
7	99945062	99945716	+	Gm18959	ENSMUSG00000108823
13	93420604	93421316	-	Gm18960	ENSMUSG00000113514
14	48387114	48388005	-	Gm18962	ENSMUSG00000115687
6	41306203	41306765	-	Gm18964	ENSMUSG00000103797
12	91142787	91143648	+	Gm18968	ENSMUSG00000114086
1	101753814	101754543	-	Gm18969	ENSMUSG00000100065
1	134032441	134033378	-	Gm18970	ENSMUSG00000099507
5	108971677	108972050	+	Gm18971	ENSMUSG00000105193
10	27870091	27870720	+	Gm18972	ENSMUSG00000112620
7	4612412	4613165	-	Gm18973	ENSMUSG00000108582
13	53888627	53890855	+	Gm18974	ENSMUSG00000114012
14	109523099	109524096	+	Gm18977	ENSMUSG00000115642
15	91960740	91963518	+	Gm18979	ENSMUSG00000116212
6	67778250	67779328	-	Gm18980	ENSMUSG00000104744
6	118617626	118619224	-	Gm18981	ENSMUSG00000100867
3	99180753	99181281	-	Gm18982	ENSMUSG00000105798
12	87480108	87482836	+	Gm18983	ENSMUSG00000112943
1	7410679	7411993	+	Gm18984	ENSMUSG00000103498
5	3212335	3213694	+	Gm18985	ENSMUSG00000105800
10	41378896	41380881	-	Gm18986	ENSMUSG00000111601
7	66126954	66127699	-	Gm18988	ENSMUSG00000108699
13	78121070	78122718	+	Gm18990	ENSMUSG00000114622
8	11738621	11739366	+	Gm18991	ENSMUSG00000110394
15	35733604	35734622	+	Gm18994	ENSMUSG00000115040
6	127167575	127168094	+	Gm18995	ENSMUSG00000107378
9	57328661	57329415	-	Gm18996	ENSMUSG00000111457
9	14693523	14694344	+	Gm18997	ENSMUSG00000111483
16	62601383	62602481	+	Gm19000	ENSMUSG00000116962
12	66482506	66484156	+	Gm19001	ENSMUSG00000113291
1	7315451	7316462	+	Gm19002	ENSMUSG00000102768
10	111806388	111807252	-	Gm19005	ENSMUSG00000112802
10	106949297	106950170	+	Gm19007	ENSMUSG00000112443
13	50859334	50860156	-	Gm19009	ENSMUSG00000113509
13	101557231	101557831	-	Gm19010	ENSMUSG00000114700
13	49882957	49883764	+	Gm19011	ENSMUSG00000113333
14	25939359	25940580	-	Gm19013	ENSMUSG00000098897
14	26079108	26080296	-	Gm19014	ENSMUSG00000099325
14	26218722	26219910	-	Gm19015	ENSMUSG00000098524
14	35548132	35549126	-	Gm19016	ENSMUSG00000115277
14	14659108	14659879	+	Gm19018	ENSMUSG00000114628
3	65987158	65989753	-	Gm19024	ENSMUSG00000103641
1	6429655	6441296	-	Gm19026	ENSMUSG00000103845
1	79505803	79507157	-	Gm19027	ENSMUSG00000099562
1	27989910	27991782	+	Gm19028	ENSMUSG00000101372
1	100006021	100006584	+	Gm19029	ENSMUSG00000100662
1	171729915	171730466	+	Gm19030	ENSMUSG00000104440
5	48665905	48667269	+	Gm19031	ENSMUSG00000093748
7	61882972	61883563	+	Gm19032	ENSMUSG00000109465
7	107366072	107367035	+	Gm19033	ENSMUSG00000109078
14	24285109	24290650	+	Gm19034	ENSMUSG00000114648
18	37079994	37082457	+	Gm19035	ENSMUSG00000102232
6	110378054	110378628	+	Gm19039	ENSMUSG00000108247
6	114738534	114743259	+	Gm19040	ENSMUSG00000107411
12	71203594	71205444	-	Gm19045	ENSMUSG00000113878
12	36172368	36173665	+	Gm19046	ENSMUSG00000113511
12	68536744	68537842	+	Gm19047	ENSMUSG00000113166
14	82121431	82122235	+	Gm19050	ENSMUSG00000115731
12	32929151	32929947	-	Gm19056	ENSMUSG00000112124
1	161297818	161299014	-	Gm19057	ENSMUSG00000104163
1	187006007	187006604	-	Gm19058	ENSMUSG00000104424
5	77227378	77227950	+	Gm19060	ENSMUSG00000107034
6	128208119	128211644	+	Gm19065	ENSMUSG00000107873
3	80088082	80089159	-	Gm19066	ENSMUSG00000103193
10	33300124	33300678	-	Gm19073	ENSMUSG00000112692
10	71611647	71613075	-	Gm19074	ENSMUSG00000112624
15	66357521	66358484	-	Gm19077	ENSMUSG00000115351
6	71918899	71919844	-	Gm19078	ENSMUSG00000108305
3	140506718	140507267	-	Gm19080	ENSMUSG00000104596
16	70143165	70144272	-	Gm19082	ENSMUSG00000116531
12	15102442	15104203	+	Gm19084	ENSMUSG00000114124
1	91487729	91490009	-	Gm19085	ENSMUSG00000101958
1	112151089	112151753	+	Gm19086	ENSMUSG00000100020
1	151107915	151108860	+	Gm19087	ENSMUSG00000100595
5	25126135	25126700	+	Gm19088	ENSMUSG00000105763
5	145818761	145835195	+	Gm19089	ENSMUSG00000106473
10	119342492	119343265	+	Gm19090	ENSMUSG00000112199
7	18577698	18579022	-	Gm19091	ENSMUSG00000109525
7	18626688	18627990	-	Gm19092	ENSMUSG00000108992
7	11716716	11720271	+	Gm19093	ENSMUSG00000110385
7	142223521	142224766	+	Gm19094	ENSMUSG00000109581
13	75199214	75199943	+	Gm19095	ENSMUSG00000113264
8	31380551	31381316	-	Gm19096	ENSMUSG00000109705
14	61283780	61284788	-	Gm19097	ENSMUSG00000114920
14	78829326	78831270	-	Gm19098	ENSMUSG00000115290
14	95981980	95982700	-	Gm19099	ENSMUSG00000115603
6	20970438	20970990	-	Gm19102	ENSMUSG00000106763
3	146803163	146803841	+	Gm19104	ENSMUSG00000104946
13	101841540	101842306	-	Gm19108	ENSMUSG00000114223
14	50552868	50553828	+	Gm19109	ENSMUSG00000115034
15	27367939	27369441	+	Gm19111	ENSMUSG00000115554
9	26366831	26368658	-	Gm19113	ENSMUSG00000111238
3	13838875	13840231	-	Gm19114	ENSMUSG00000102891
10	65771558	65772199	-	Gm19116	ENSMUSG00000112720
13	65697063	65697160	+	Gm19118	ENSMUSG00000113513
13	66398531	66399255	+	Gm19119	ENSMUSG00000114825
14	80834332	80835019	+	Gm19120	ENSMUSG00000115346
9	44955715	44956736	+	Gm19121	ENSMUSG00000111241
1	26466236	26466886	+	Gm19123	ENSMUSG00000099458
1	48783663	48784593	+	Gm19124	ENSMUSG00000099376
1	59155607	59156989	+	Gm19125	ENSMUSG00000099563
7	18800932	18801853	-	Gm19126	ENSMUSG00000109490
7	108579038	108581482	-	Gm19127	ENSMUSG00000109471
14	36050560	36051220	+	Gm19129	ENSMUSG00000115295
6	63044965	63048172	-	Gm19131	ENSMUSG00000107708
12	62690053	62690539	-	Gm19134	ENSMUSG00000114044
1	150022190	150024256	-	Gm19136	ENSMUSG00000099701
10	47304704	47310575	-	Gm19137	ENSMUSG00000111719
13	88509280	88511336	-	Gm19139	ENSMUSG00000114465
8	36450380	36450800	+	Gm19140	ENSMUSG00000109977
15	80475892	80477938	+	Gm19141	ENSMUSG00000116345
16	44803545	44805504	-	Gm19142	ENSMUSG00000116605
12	69970386	69972795	+	Gm19144	ENSMUSG00000113898
14	107594707	107595524	+	Gm19146	ENSMUSG00000115741
3	114828020	114828671	-	Gm19147	ENSMUSG00000105225
3	133029423	133029851	+	Gm19148	ENSMUSG00000104787
13	23042416	23042994	-	Gm19153	ENSMUSG00000114394
13	19820739	19821678	+	Gm19154	ENSMUSG00000113542
14	51579731	51580195	+	Gm19156	ENSMUSG00000114973
14	51598894	51599374	+	Gm19157	ENSMUSG00000115135
14	51618064	51618541	+	Gm19158	ENSMUSG00000115832
10	9748423	9749159	-	Gm19161	ENSMUSG00000112200
13	3456991	3457770	-	Gm19163	ENSMUSG00000113534
8	27019454	27020093	-	Gm19164	ENSMUSG00000110081
6	59036889	59039322	+	Gm19165	ENSMUSG00000107449
3	142664444	142665506	-	Gm19166	ENSMUSG00000105170
10	73372332	73376033	-	Gm19168	ENSMUSG00000112427
10	123583588	123584833	+	Gm19169	ENSMUSG00000111945
8	68316997	68318080	-	Gm19170	ENSMUSG00000110650
6	48962883	48964128	+	Gm19172	ENSMUSG00000107692
6	48995224	48997653	+	Gm19173	ENSMUSG00000107457
9	18400542	18402855	+	Gm19174	ENSMUSG00000110944
3	17923708	17924623	+	Gm19175	ENSMUSG00000105262
12	68499376	68501206	-	Gm19176	ENSMUSG00000113561
6	107881073	107881685	+	Gm19177	ENSMUSG00000107475
9	18298833	18300651	-	Gm19178	ENSMUSG00000110816
10	107061044	107061983	-	Gm19181	ENSMUSG00000112863
7	99740210	99740786	-	Gm19182	ENSMUSG00000109275
3	140169284	140170211	+	Gm19184	ENSMUSG00000106207
3	110399131	110399773	+	Gm19185	ENSMUSG00000105859
10	82566772	82567507	+	Gm19186	ENSMUSG00000112560
7	56216362	56217253	-	Gm19187	ENSMUSG00000108347
13	14862000	14864136	+	Gm19189	ENSMUSG00000113686
9	95425630	95426359	+	Gm19193	ENSMUSG00000101459
3	71672518	71677123	+	Gm19194	ENSMUSG00000103815
12	111860626	111861136	-	Gm19195	ENSMUSG00000113357
12	21543307	21554521	+	Gm19196	ENSMUSG00000109975
14	63025130	63025897	-	Gm19198	ENSMUSG00000114260
15	71099619	71100191	-	Gm19199	ENSMUSG00000116191
X	103287167	103288970	-	Gm19200	ENSMUSG00000098023
7	12182468	12183245	-	Gm19201	ENSMUSG00000110082
3	102685910	102686717	-	Gm19202	ENSMUSG00000104685
7	86906996	86907934	-	Gm19203	ENSMUSG00000092376
1	47914989	47915815	-	Gm19206	ENSMUSG00000101996
15	20283285	20284041	-	Gm19207	ENSMUSG00000115112
9	61851704	61852615	+	Gm19208	ENSMUSG00000110968
3	98469146	98473218	-	Gm19210	ENSMUSG00000106129
3	98522741	98526690	-	Gm19211	ENSMUSG00000105696
9	7688975	7689836	-	Gm19212	ENSMUSG00000110936
1	6048963	6050045	-	Gm19214	ENSMUSG00000103090
14	68113933	68115145	+	Gm19216	ENSMUSG00000114466
10	76133434	76140301	+	Gm19217	ENSMUSG00000112128
9	65336174	65336897	-	Gm19219	ENSMUSG00000111725
12	40893485	40894287	+	Gm19220	ENSMUSG00000113337
12	69980886	69982468	+	Gm19221	ENSMUSG00000113491
14	65961121	65962888	-	Gm19222	ENSMUSG00000114844
14	112578865	112580551	-	Gm19223	ENSMUSG00000115126
19	11703309	11704101	-	Gm19224	ENSMUSG00000100918
15	7779036	7780046	+	Gm19227	ENSMUSG00000115765
9	82196479	82197195	-	Gm19228	ENSMUSG00000110748
3	76884496	76885325	+	Gm19231	ENSMUSG00000102216
8	99826987	99827638	-	Gm19232	ENSMUSG00000109939
10	101271621	101272556	+	Gm19233	ENSMUSG00000111906
15	44323112	44324114	+	Gm19235	ENSMUSG00000115694
15	52033369	52036066	+	Gm19236	ENSMUSG00000115238
6	62582070	62583201	+	Gm19237	ENSMUSG00000108160
12	99804389	99805648	-	Gm19238	ENSMUSG00000113577
13	87826538	87827059	+	Gm19239	ENSMUSG00000114674
19	31913644	31914551	+	Gm19241	ENSMUSG00000114443
3	117222960	117223602	-	Gm19243	ENSMUSG00000105914
6	57617025	57617277	-	Gm19244	ENSMUSG00000107627
7	42488801	42489055	+	Gm19246	ENSMUSG00000092505
7	46967248	46967357	+	Gm19248	ENSMUSG00000110416
6	14081331	14081635	-	Gm19252	ENSMUSG00000108205
6	49071630	49071936	+	Gm19253	ENSMUSG00000107758
6	122414104	122414397	+	Gm19254	ENSMUSG00000107506
